Transaction_ID,Amount,Transaction_Type,Location,Time_of_Day,Account_Age_Months,Is_International,Fraud
1,1875.8278936425756,ATM,Germany,Night,113,0,0
2,4753.817960517531,Bank Transfer,Germany,Night,30,1,0
3,3661.3097393479684,ATM,UK,Evening,67,1,0
4,2995.299128564198,Bank Transfer,Canada,Night,220,0,1
5,784.3131090099704,Bank Transfer,USA,Morning,161,1,0
6,784.1926290793322,ATM,USA,Morning,234,1,0
7,295.1276427801563,POS,Canada,Night,131,0,0
8,4331.549848145802,Bank Transfer,UK,Afternoon,197,1,0
9,3007.569483657328,ATM,UK,Night,121,1,0
10,3541.8225260912473,Online,UK,Afternoon,83,0,0
11,107.81954900753323,ATM,USA,Night,170,0,0
12,4849.699711549161,Online,Germany,Morning,62,1,0
13,4163.050990798107,Bank Transfer,UK,Afternoon,186,0,0
14,1065.6338578379894,ATM,USA,Morning,57,1,0
15,913.2157111994676,ATM,USA,Night,1,1,0
16,921.105526717902,Online,Germany,Evening,102,0,0
17,1524.690003582891,ATM,Canada,Afternoon,201,0,0
18,2626.158376003028,ATM,Canada,Afternoon,188,0,0
19,2162.565368117368,Bank Transfer,UK,Night,69,0,0
20,1459.6895552892195,ATM,UK,Night,59,1,0
21,3061.205209138285,POS,Germany,Afternoon,46,0,0
22,701.771833956949,Online,UK,Evening,106,0,0
23,1464.2625194334146,ATM,Germany,Night,34,1,0
24,1834.9774072519901,Online,USA,Night,101,1,0
25,2283.0695711640947,Online,UK,Night,97,1,0
26,3926.953927158103,Online,USA,Evening,153,1,0
27,1002.3705418810068,ATM,India,Afternoon,170,1,0
28,2573.60101987599,ATM,Germany,Morning,29,1,0
29,2964.110771465902,Online,India,Night,153,1,0
30,237.01981153638863,POS,UK,Evening,182,1,0
31,3039.686535247685,Online,USA,Afternoon,123,1,0
32,856.7679978180212,POS,UK,Afternoon,73,0,0
33,329.9327069614712,Online,India,Evening,195,0,0
34,4744.6832585803995,Bank Transfer,UK,Night,143,1,1
35,4828.332005207424,Online,Canada,Morning,4,0,0
36,4042.9447538417235,Online,India,Night,237,1,0
37,1526.5457770209866,ATM,UK,Afternoon,38,1,0
38,492.87220946188745,POS,USA,Morning,20,1,0
39,3422.7439674282236,Bank Transfer,UK,Night,113,1,0
40,2203.5617062293086,POS,USA,Morning,23,0,0
41,614.5809830496702,Bank Transfer,Canada,Evening,165,0,1
42,2478.4086660057947,Online,UK,Night,190,1,0
43,176.7706629705159,ATM,Canada,Afternoon,111,0,0
44,4547.055408383517,ATM,India,Afternoon,136,0,0
45,1297.6060080920845,POS,USA,Morning,165,1,0
46,3314.29881034814,ATM,India,Evening,45,1,0
47,1561.9968250666077,POS,USA,Night,97,0,0
48,2602.739765783165,POS,Canada,Evening,33,0,0
49,2735.817845319682,Bank Transfer,Germany,Evening,135,1,0
50,928.3480053500076,POS,UK,Morning,22,1,0
51,4848.07521568397,Bank Transfer,Canada,Morning,133,0,1
52,3876.7884526887674,ATM,USA,Night,238,1,0
53,4697.797213113125,POS,USA,Afternoon,15,1,0
54,4474.662615386106,POS,USA,Night,21,1,0
55,2991.51039416137,Online,USA,Evening,126,0,0
56,4609.761803940469,POS,UK,Morning,89,0,0
57,447.0200477493379,POS,India,Evening,17,1,0
58,983.9343977836303,Online,Germany,Morning,56,0,0
59,230.91030810813763,Online,UK,Afternoon,50,1,0
60,1630.0250021625054,ATM,USA,Evening,135,0,0
61,1946.4430619989625,POS,UK,Morning,118,0,0
62,1360.3884137106102,ATM,Canada,Night,122,0,0
63,4144.543858213887,ATM,USA,Night,50,1,0
64,1786.9828668344785,Online,Germany,Night,60,1,0
65,1408.267875888467,Bank Transfer,USA,Evening,125,1,0
66,2715.766935375451,ATM,Germany,Morning,211,0,0
67,708.9165037489394,Bank Transfer,Germany,Morning,116,1,0
68,4011.973918866428,POS,India,Morning,135,1,0
69,377.38046518045525,Online,India,Evening,168,1,0
70,4934.500248319584,POS,UK,Morning,173,1,0
71,3862.3626226368037,POS,UK,Afternoon,187,0,0
72,997.5848292631912,Online,Germany,Evening,88,1,0
73,32.58297503239398,POS,USA,Afternoon,203,1,0
74,4078.229835131897,Online,Canada,Afternoon,105,0,0
75,3535.7524325188474,Bank Transfer,Canada,Night,55,1,0
76,3646.3908043647316,POS,USA,Evening,64,0,0
77,3857.495381696299,Online,USA,Morning,193,0,1
78,374.8530354117814,ATM,India,Afternoon,182,0,0
79,1795.5363140786417,POS,Canada,Evening,96,1,0
80,583.7659523280229,Bank Transfer,Germany,Morning,168,0,0
81,4316.201612248589,Online,UK,Night,181,0,0
82,3118.374143503652,POS,India,Evening,44,0,0
83,1657.8356341389826,POS,Canada,Evening,191,1,0
